,Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
32,Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6 sec,160 km/h,350 km,166.0,440 km/h,Rear Wheel Drive,5,34995.0,28420.0
33,Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9 sec,160 km/h,450 km,171.0,550 km/h,Rear Wheel Drive,4,41995.0,38800.0
35,Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5 sec,140 km/h,310 km,168.0,230 km/h,Front Wheel Drive,5,33990.0,28795.0
36,Peugeot e-2008 SUV ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 km/h,250 km,180.0,330 km/h,Front Wheel Drive,5,35450.0,30730.0
37,Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,280 km,231.0,470 km/h,All Wheel Drive,5,69100.0,60600.0
38,Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,3.2 sec,260 km/h,400 km,209.0,840 km/h,All Wheel Drive,4,153016.0,115860.0
39,Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh ,11.6 sec,130 km/h,100 km,167.0,-,Rear Wheel Drive,2,18460.0,19200.0
40,Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh ,11.9 sec,130 km/h,95 km,176.0,-,Rear Wheel Drive,2,21720.0,21620.0
41,Smart EQ forfour ,Battery Electric Vehicle |       16.7 kWh ,12.7 sec,130 km/h,95 km,176.0,-,Rear Wheel Drive,4,19120.0,19795.0
42,Honda e Advance,Battery Electric Vehicle |       28.5 kWh ,8.3 sec,145 km/h,170 km,168.0,190 km/h,Rear Wheel Drive,4,38000.0,30160.0
43,Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh ,7.5 sec,190 km/h,325 km,222.0,420 km/h,Rear Wheel Drive,5,53500.0,50000.0
44,Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh ,5.5 sec,190 km/h,390 km,244.0,460 km/h,All Wheel Drive,5,64000.0,60000.0
46,Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,4.0 sec,250 km/h,375 km,189.0,750 km/h,All Wheel Drive,4,106487.0,83580.0
47,Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,4.0 sec,250 km/h,435 km,192.0,910 km/h,All Wheel Drive,4,113008.0,88193.0
49,Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281.0,280 km/h,Front Wheel Drive,7,71388.0,70665.0
50,Mazda MX-30 ,Battery Electric Vehicle |       30 kWh ,9.7 sec,140 km/h,170 km,176.0,180 km/h,Front Wheel Drive,5,34490.0,26045.0
51,Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,6.9 sec,180 km/h,345 km,197.0,380 km/h,Rear Wheel Drive,5,46900.0,41330.0
52,Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,7.0 sec,180 km/h,440 km,200.0,430 km/h,Rear Wheel Drive,5,54475.0,49980.0
53,Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,6.3 sec,180 km/h,330 km,206.0,360 km/h,All Wheel Drive,5,54000.0,46650.0
54,Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,5.8 sec,180 km/h,420 km,210.0,410 km/h,All Wheel Drive,5,62900.0,57030.0
56,Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,295 km,219.0,490 km/h,All Wheel Drive,5,71350.0,69100.0
57,Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh ,7.0 sec,180 km/h,390 km,256.0,740 km/h,Rear Wheel Drive,7,45000.0,39000.0
58,Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh ,5.0 sec,190 km/h,460 km,261.0,710 km/h,All Wheel Drive,7,55000.0,48000.0
59,Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh ,3.0 sec,210 km/h,750 km,267.0,710 km/h,All Wheel Drive,7,75000.0,68000.0
60,Lexus UX 300e,Battery Electric Vehicle |       50 kWh ,7.5 sec,160 km/h,260 km,192.0,150 km/h,Front Wheel Drive,5,47550.0,43900.0
61,BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,5.7 sec,190 km/h,475 km,170.0,660 km/h,Rear Wheel Drive,5,58300.0,51905.0
65,Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,320 km,270.0,510 km/h,All Wheel Drive,5,93800.0,87000.0
66,Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,335 km,258.0,540 km/h,All Wheel Drive,5,96050.0,88700.0
68,Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh ,7.5 sec,190 km/h,400 km,238.0,480 km/h,Rear Wheel Drive,5,62000.0,57500.0
69,Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 km/h,245 km,152.0,410 km/h,Front Wheel Drive,4,30560.0,26645.0
70,Opel Mokka-e ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 km/h,255 km,176.0,340 km/h,Front Wheel Drive,5,34110.0,30540.0
71,Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 km/h,330 km,176.0,420 km/h,Rear Wheel Drive,5,38850.0,31995.0
72,Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 km/h,420 km,183.0,510 km/h,Rear Wheel Drive,5,43950.0,39350.0
73,Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 km/h,405 km,190.0,500 km/h,All Wheel Drive,5,47000.0,42000.0
74,Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,395 km,195.0,480 km/h,All Wheel Drive,5,50000.0,45000.0
